name,address,city,phone,email,website,latitude,longitude,source
YMCA, Hyderabad,Hyderabad,,,,17.3954875,78.4912152,OpenStreetMap
VInayaka Nagar Community Hall, Hyderabad,Hyderabad,,,,17.3302139,78.5974194,OpenStreetMap
ramayampet, Hyderabad,Hyderabad,,,,17.4300393,78.5002689,OpenStreetMap
Community hall, Hyderabad,Hyderabad,,,,17.564618,78.4562653,OpenStreetMap
dwakra bavan, Hyderabad,Hyderabad,,,,17.5646234,78.4556037,OpenStreetMap
V M GARDEN,Golconda Road Hyderabad,Hyderabad,,,,17.3797252,78.4331981,OpenStreetMap
Vipasana Meditation Center, Hyderabad,Hyderabad,,,,17.3127634,78.575762,OpenStreetMap
TTD Kalyana Mandapam,Old NH 7 Hyderabad Road Hyderabad,Hyderabad,,,,17.0773969,78.2083244,OpenStreetMap
Manahub, Hyderabad,Hyderabad,,nanoharsha@gmail.com,https://openfoodnetwork.in/manahub/,17.4971475,78.416516,OpenStreetMap
Collab house,Road No 70 Hyderabad,Hyderabad,,,,17.421538,78.4096862,OpenStreetMap
Gunrock Enclave Community Center, Hyderabad,Hyderabad,,,,17.4591464,78.494254,OpenStreetMap
"school, commuity, ply area", Hyderabad,Hyderabad,,,,17.3181672,78.5508063,OpenStreetMap
Sai Ram Nagar Colony Community Hall, Hyderabad,Hyderabad,,,,17.3816253,78.5610952,OpenStreetMap
Community Hall HAL Township,HAL Township Street Hyderabad,Hyderabad,,,,17.4709468,78.4526655,OpenStreetMap
Swecha Office,"Nehru Outer Ring Road Beside Centre for Good Governance, Greenlands colony, Gachibowli 'X'Roads, Sherilingampally, Rangareddy Dt.,",Hyderabad,04023001263,contact@swecha.org,www.swecha.org,17.4359743,78.3604038,OpenStreetMap
SVM Grand, Hyderabad,Hyderabad,,,,17.409797,78.6015737,OpenStreetMap
MKBR Gardens, Hyderabad,Hyderabad,,,,17.4088894,78.6057159,OpenStreetMap
kamala nagar community hall,"kamala nagar Hyderabad, Telangana.",Hyderabad,,,,17.3297133,78.5777552,OpenStreetMap
centre for sustainable agriculture (CSA), Hyderabad,Hyderabad,,,,17.4267187,78.540085,OpenStreetMap
Sha Function Hall, Hyderabad,Hyderabad,,,,17.4013691,78.4644447,OpenStreetMap
Vets Functional Hall, Hyderabad,Hyderabad,,,,17.3979672,78.4565014,OpenStreetMap
Kalyanpuri Community Center, Hyderabad,Hyderabad,,,,17.4108383,78.5564624,OpenStreetMap
KLR Gardens, Hyderabad,Hyderabad,,,,17.302207,78.5072451,OpenStreetMap
Mohammed Riyazuddin,Bhavani Nagar Talab Katta Hyderabad,Hyderabad,+919441543002,riyazfushu@gmail.com,,17.3504018,78.4877934,OpenStreetMap
CKR and KTR Convention Hall, Hyderabad,Hyderabad,,,,17.3050528,78.5197234,OpenStreetMap
Vasanth Vihar Function hall, Hyderabad,Hyderabad,,,,17.3710545,78.5795912,OpenStreetMap
Usha Maternity and Nursing Home,"H.No. 8-15/3, Hema Nagar, Boduppal, Ghatkesar (Mandal)",Hyderabad,+914027207779,,,17.4217805,78.5650029,OpenStreetMap
Sri Balaji Nursing Home,"3-34/1, Vijaypuri Colony, Uppal main Road",Hyderabad,,,,17.4007736,78.5668011,OpenStreetMap
Sri Venkata Sai Nursing Home,"5-2/1, Durga Nagar, Shivani Lodge Lane, Dilsukhnagar",Hyderabad,,,,17.3688313,78.5262736,OpenStreetMap
Sri Aparajitha Nursing Home,"Kalyana Kameswari Plot No 31& 32, Navodaya Colony, Uppal",Hyderabad,,,,17.4184778,78.5683957,OpenStreetMap
Vyshali Nursing Home,"1-78 / 1 / A / 2, Plot No: 31, Boduppal Colony Rd, Bayanna Nagar",Hyderabad,+914029803062,,,17.4195974,78.5804777,OpenStreetMap
Anitha Nursing Home - Malakpet,"16-2-147/64/6D, Anand Nagar, Malakpet",Hyderabad,,,,17.3710686,78.5069691,OpenStreetMap
bhavani nagar community hall, Hyderabad,Hyderabad,,,,17.479477,78.564056,OpenStreetMap
Mahboob College Grounds, Hyderabad,Hyderabad,,,,17.4400188,78.4962092,OpenStreetMap
YMCA Secunderabad, Hyderabad,Hyderabad,,,,17.4425872,78.4989862,OpenStreetMap
Seven Hills Vedanth, Hyderabad,Hyderabad,,,,17.4234372,78.5165486,OpenStreetMap
Sri Sai Venkatreddy Function Hall, Hyderabad,Hyderabad,,,,17.4688619,78.7907294,OpenStreetMap
MEE SEVA, Hyderabad,Hyderabad,,,,17.4561295,78.4221254,OpenStreetMap
